Energy(keV)	Counts
1,485	0
1,711	0
1,937	0
2,163	0
2,389	0
2,615	5
2,841	13
3,067	31
3,293	64
3,520	151
3,746	179
3,972	4792
4,198	27211
4,424	54199
4,650	99817
4,876	128557
5,102	121452
5,328	100855
5,554	101034
5,780	102206
6,007	98916
6,233	96109
6,459	92718
6,685	89444
6,911	86524
7,137	83755
7,363	81108
7,589	78448
7,815	76521
8,041	73616
8,267	71610
8,493	69599
8,720	68133
8,946	66283
9,172	64255
9,398	62948
9,624	61624
9,850	60255
10,076	59025
10,302	57219
10,528	56185
10,754	55431
10,980	53930
11,206	52998
11,433	51825
11,659	51392
11,885	50808
12,111	49579
12,337	48993
12,563	48089
12,789	47370
13,015	46140
13,241	46232
13,467	45321
13,693	44310
13,919	44120
14,146	42966
14,372	43074
14,598	42617
14,824	41406
15,050	41085
15,276	39679
15,502	39906
15,728	39442
15,954	39070
16,180	38371
16,406	38266
16,632	37576
16,859	37081
17,085	36824
17,311	36349
17,537	36172
17,763	35926
17,989	35309
18,215	34908
18,441	34678
18,667	34569
18,893	33715
19,119	33637
19,345	33360
19,572	33329
19,798	32895
20,024	32453
20,250	32299
20,476	31791
20,702	31802
20,928	31317
21,154	31206
21,380	31014
21,606	30531
21,832	30351
22,058	30325
22,285	29891
22,511	29959
22,737	29452
22,963	29292
23,189	29116
23,415	28814
23,641	28722
23,867	28472
24,093	28418
24,319	28051
24,545	28171
24,771	27678
24,998	27386
25,224	27554
25,450	27408
25,676	27047
25,902	27035
26,128	26838
26,354	26727
26,580	26517
26,806	26268
27,032	26378
27,258	26036
27,485	25791
27,711	25604
27,937	25673
28,163	25982
28,389	25791
28,615	25400
28,841	25201
29,067	25365
29,293	24979
29,519	25141
29,745	24985
29,971	24528
30,198	24756
30,424	24726
30,650	24623
30,876	24554
31,102	24211
31,328	24194
31,554	24338
31,780	24241
32,006	23916
32,232	24288
32,458	23904
32,684	23759
32,911	23701
33,137	23617
33,363	23408
33,589	23425
33,815	23406
34,041	23017
34,267	22954
34,493	23339
34,719	23244
34,945	23006
35,171	23239
35,397	23189
35,624	23030
35,850	23336
36,076	23719
36,302	23437
36,528	23187
36,754	22909
36,980	22686
37,206	22604
37,432	22644
37,658	22542
37,884	22409
38,110	22305
38,337	22668
38,563	22206
38,789	22126
39,015	22140
39,241	22017
39,467	21887
39,693	21714
39,919	21911
40,145	21893
40,371	21627
40,597	21639
40,823	21339
41,050	21132
41,276	21248
41,502	21442
41,728	21481
41,954	22006
42,180	24185
42,406	28644
42,632	36640
42,858	45911
43,084	54349
43,310	62197
43,536	66114
43,763	60763
43,989	45288
44,215	30582
44,441	21354
44,667	18004
44,893	17034
45,119	16777
45,345	17398
45,571	17663
45,797	17999
46,023	17984
46,249	17531
46,476	16692
46,702	16609
46,928	16274
47,154	16272
47,380	16171
47,606	16346
47,832	16642
48,058	16973
48,284	18112
48,510	21910
48,736	29474
48,963	40420
49,189	47247
49,415	43865
49,641	34808
49,867	26065
50,093	22717
50,319	23748
50,545	24661
50,771	23010
50,997	19492
51,223	16856
51,449	14737
51,676	14175
51,902	14105
52,128	13935
52,354	13737
52,580	13913
52,806	13655
53,032	13590
53,258	13810
53,484	14035
53,710	13934
53,936	13674
54,162	13726
54,389	13520
54,615	13843
54,841	13577
55,067	13708
55,293	13437
55,519	13598
55,745	13608
55,971	13433
56,197	13675
56,423	13477
56,649	13654
56,875	13624
57,102	13468
57,328	13438
57,554	13619
57,780	13477
58,006	13634
58,232	13623
58,458	13923
58,684	13729
58,910	13465
59,136	13515
59,362	13792
59,588	13858
59,815	14990
60,041	16722
60,267	18927
60,493	20039
60,719	19011
60,945	16673
61,171	14879
61,397	13719
61,623	13223
61,849	13227
62,075	13493
62,301	13292
62,528	13444
62,754	13100
62,980	13169
63,206	13343
63,432	13405
63,658	13457
63,884	13407
64,110	13544
64,336	13375
64,562	13603
64,788	13758
65,014	13785
65,241	13769
65,467	13833
65,693	13865
65,919	13820
66,145	14026
66,371	14096
66,597	13962
66,823	14228
67,049	14105
67,275	14128
67,501	14054
67,728	14399
67,954	14108
68,180	14099
68,406	14100
68,632	14049
68,858	13898
69,084	14284
69,310	14162
69,536	14233
69,762	14230
69,988	14244
70,214	14075
70,441	14249
70,667	14477
70,893	14343
71,119	14362
71,345	14307
71,571	14501
71,797	14500
72,023	14711
72,249	14877
72,475	14900
72,701	15062
72,927	15283
73,154	15781
73,380	15483
73,606	15660
73,832	15400
74,058	15427
74,284	15392
74,510	16042
74,736	16079
74,962	16688
75,188	17300
75,414	17617
75,640	17333
75,867	16823
76,093	16565
76,319	16691
76,545	16800
76,771	16671
76,997	16833
77,223	16695
77,449	16842
77,675	16995
77,901	17068
78,127	16898
78,353	17189
78,580	17200
78,806	17390
79,032	17430
79,258	17507
79,484	17749
79,710	17553
79,936	17896
80,162	17955
80,388	17545
80,614	17745
80,840	18124
81,066	18194
81,293	18120
81,519	18735
81,745	18753
81,971	18855
82,197	19151
82,423	19229
82,649	19283
82,875	19707
83,101	19881
83,327	20372
83,553	20486
83,779	20598
84,006	20917
84,232	21521
84,458	22253
84,684	22513
84,910	23133
85,136	23331
85,362	24083
85,588	26482
85,814	35869
86,040	68082
86,266	141036
86,492	254601
86,719	353012
86,945	363068
87,171	273348
87,397	154421
87,623	70580
87,849	32762
88,075	20537
88,301	18247
88,527	17474
88,753	16963
88,979	16985
89,206	16848
89,432	16643
89,658	16839
89,884	16438
90,110	16509
90,336	16475
90,562	16535
90,788	16283
91,014	16525
91,240	16495
91,466	16363
91,692	16436
91,919	16770
92,145	16358
92,371	16522
92,597	16929
92,823	16893
93,049	17000
93,275	16950
93,501	17356
93,727	17221
93,953	17648
94,179	17434
94,405	17666
94,632	17632
94,858	17633
95,084	18056
95,310	17828
95,536	18490
95,762	18232
95,988	18431
96,214	18494
96,440	18410
96,666	18442
96,892	18646
97,118	18597
97,345	18908
97,571	19166
97,797	18950
98,023	18989
98,249	19161
98,475	19358
98,701	19308
98,927	19362
99,153	19527
99,379	19613
99,605	19601
99,831	19580
100,058	19553
100,284	19991
100,510	20024
100,736	20005
100,962	20098
101,188	20027
101,414	19929
101,640	20169
101,866	20602
102,092	20357
102,318	20822
102,544	20684
102,771	20798
102,997	20963
103,223	21104
103,449	21004
103,675	21052
103,901	21648
104,127	23111
104,353	27608
104,579	44172
104,805	87108
105,031	164618
105,257	253832
105,484	296899
105,710	261655
105,936	172016
106,162	89832
106,388	43159
106,614	26004
106,840	21678
107,066	20556
107,292	20463
107,518	20605
107,744	20766
107,970	20924
108,197	20745
108,423	20644
108,649	20857
108,875	21206
109,101	21561
109,327	22097
109,553	22241
109,779	21789
110,005	21629
110,231	21285
110,457	21041
110,684	21212
110,910	20863
111,136	21071
111,362	21065
111,588	21104
111,814	21053
112,040	20719
112,266	21207
112,492	21217
112,718	20977
112,944	21158
113,170	20935
113,397	20995
113,623	20892
113,849	20964
114,075	20946
114,301	20978
114,527	20527
114,753	20567
114,979	20637
115,205	20406
115,431	20383
115,657	20267
115,883	20150
116,110	20461
116,336	20885
116,562	21733
116,788	22699
117,014	23223
117,240	22852
117,466	21673
117,692	20440
117,918	20091
118,144	19688
118,370	19582
118,596	19412
118,823	19402
119,049	19167
119,275	18994
119,501	18997
119,727	19156
119,953	19197
120,179	19118
120,405	18950
120,631	19194
120,857	19327
121,083	19849
121,309	20132
121,536	21594
121,762	27557
121,988	53904
122,214	145747
122,440	382007
122,666	806060
122,892	1303458
123,118	1570046
123,344	1395648
123,570	916581
123,796	445036
124,022	163610
124,249	50240
124,475	18094
124,701	11435
124,927	10433
